provision_id                      rank  score  determinacy
--------------------------------  ----  -----  -----------
sfs-2026-585:P18                  1     21.0   specific   
sfs-2026-1054:P8                  2     19.0   specific   
sfs-1977-480:P11                  3     19.0   specific   
sfs-2026-1283:K5P1                4     19.0   specific   
sfs-1982-80:P10                   5     19.0   specific   
sfs-1982-80:P20                   6     19.0   specific   
sfs-1977-480:P19                  7     19.0   specific   
sfs-1982-80:P18                   8     19.0   specific   
sfs-2026-786:K5P2                 9     19.0   specific   
sfs-2026-408:K9P10                10    19.0   specific   
sfs-2026-1011:K6P8                11    19.0   specific   
sfs-2026-1283:overgang:2026-1283  12    19.0   specific   
sfs-1977-480:P12                  13    18.0   specific   
sfs-2026-485:P13                  14    18.0   specific   
sfs-1982-673:P12                  15    18.0   specific   
sfs-2026-999:K5P1                 16    18.0   specific   
sfs-1995-584:P15b                 17    18.0   specific   
sfs-1995-584:P25                  18    18.0   unmarked   
sfs-2026-408:K19P3                19    18.0   unmarked   
sfs-2026-1281:K18P6               20    18.0   specific   
sfs-2026-440:K3P6                 21    18.0   unmarked   
sfs-1976-580:P21                  22    18.0   specific   
sfs-2026-843:P11                  23    18.0   vague      
sfs-1977-480:P13                  24    18.0   specific   
sfs-1982-80:P7                    25    18.0   specific   
sfs-1982-673:P3                   26    18.0   specific   
sfs-1977-480:P18                  27    17.0   specific   
sfs-2026-772:K1P4:occurrence:2    28    17.0   specific   
sfs-1995-584:P4                   29    17.0   specific   
sfs-1977-480:P5                   30    17.0   specific   
sfs-2026-408:K12P4                31    17.0   vague      
sfs-2026-1358:K2P9                32    17.0   specific   
sfs-2026-408:K16P8                33    17.0   specific   
sfs-2026-1113:P7                  34    17.0   specific   
sfs-1995-584:P13                  35    17.0   specific   
sfs-2026-1281:K4P10               36    17.0   unmarked   
sfs-2026-408:K7P1                 37    17.0   vague      
sfs-2008-567:K6P2                 38    17.0   specific   
sfs-1982-673:P13a                 39    17.0   specific   
sfs-2026-999:K5P5:occurrence:2    40    17.0   specific   
sfs-1982-673:P27                  41    17.0   specific   
sfs-2026-1281:K9P1                42    16.0   specific   
sfs-2026-1281:K10P10              43    16.0   specific   
sfs-2026-1283:K2P6                44    16.0   specific   
sfs-2026-1283:K4P9                45    16.0   specific   
sfs-2026-999:K4P3                 46    16.0   specific   
sfs-2026-1283:K4P5                47    16.0   specific   
sfs-2026-999:K4P3:occurrence:2    48    16.0   specific   
sfs-1982-80:P6                    49    16.0   specific   
sfs-2026-772:K6P6                 50    16.0   specific   
sfs-2026-408:K3P4                 51    16.0   specific   
sfs-2026-723:P3                   52    16.0   unmarked   
sfs-1976-580:P29                  53    16.0   specific   
sfs-2026-786:K4P3                 54    16.0   specific   
sfs-2026-1283:K7P5                55    16.0   unmarked   
sfs-2026-1283:K3P8                56    16.0   specific   
sfs-1977-480:P28                  57    16.0   specific   
sfs-2026-408:K20P10               58    16.0   unmarked   
