protocol,rfc,year,title,requirements,must_pct,should_pct,may_pct
TLS,rfc-4346,2006,TLS 1.1,104,64.4,22.1,13.5
TLS,rfc-5246,2008,TLS 1.2,171,68.4,13.5,18.1
TLS,rfc-8446,2018,TLS 1.3,281,67.6,22.1,10.3
HTTP,rfc-2616,1999,HTTP/1.1,634,42.1,35.0,22.9
HTTP,rfc-7230,2014,HTTP/1.1 syntax/routing,176,58.0,21.6,20.5
HTTP,rfc-9110,2022,HTTP semantics,378,47.1,28.3,24.6
SMTP,rfc-2821,2001,SMTP,267,49.8,35.2,15.0
SMTP,rfc-5321,2008,SMTP,306,47.7,36.6,15.7
Cookies,rfc-2965,2000,Cookie2,78,42.3,30.8,26.9
Cookies,rfc-6265,2011,Cookies,47,27.7,55.3,17.0
