provision_id                           rank  score  determinacy
-------------------------------------  ----  -----  -----------
sfs-2022-260:K5P2                      1     23.0   specific   
sfs-2022-964:K4P16                     2     22.0   specific   
sfs-2015-953:P17                       3     21.0   specific   
sfs-2026-585:P18                       4     21.0   specific   
sfs-2022-964:K5P5                      5     21.0   specific   
sfs-2020-548:P19                       6     21.0   specific   
sfs-2018-1219:K9P8                     7     21.0   specific   
sfs-2024-237:P2                        8     20.0   specific   
sfs-2014-836:P15                       9     20.0   specific   
sfs-2025-1506:K2P12                    10    20.0   specific   
sfs-2022-700:K5P29                     11    20.0   specific   
sfs-2017-527:P8                        12    20.0   specific   
sfs-2018-672:K17P14                    13    20.0   specific   
sfs-2015-1016:K27P17                   14    20.0   specific   
sfs-2023-474:P10                       15    20.0   specific   
sfs-2022-155:K6P2                      16    20.0   specific   
sfs-2022-156:K6P2                      17    20.0   specific   
sfs-2016-417:overgang:2016-417         18    20.0   specific   
sfs-2022-367:overgang:2022-367         19    20.0   specific   
sfs-2018-1854:overgang:2018-1854       20    20.0   specific   
sfs-2016-408:overgang:2016-408         21    20.0   specific   
sfs-2016-927:overgang:2016-927         22    20.0   specific   
sfs-2015-666:overgang:2021-1074        23    20.0   specific   
sfs-2020-44:overgang:2020-44           24    20.0   specific   
sfs-2022-366:overgang:2022-366         25    20.0   specific   
sfs-2015-860:overgang:2018-475         26    20.0   specific   
sfs-2015-338:overgang:2016-1375        27    20.0   specific   
sfs-2018-181:overgang:2018-182         28    20.0   specific   
sfs-2026-1637:K5aP2                    29    19.0   specific   
sfs-2025-400:K20P2                     30    19.0   specific   
sfs-2014-836:P48                       31    19.0   specific   
sfs-2023-200:K12P11                    32    19.0   specific   
sfs-2025-1053:K4P1                     33    19.0   specific   
sfs-2016-429:P14                       34    19.0   specific   
sfs-2026-1054:P8                       35    19.0   specific   
sfs-1977-480:P11                       36    19.0   specific   
sfs-2026-1283:K5P1                     37    19.0   specific   
sfs-1982-80:P10                        38    19.0   specific   
sfs-1982-80:P20                        39    19.0   specific   
sfs-2015-62:K8P3                       40    19.0   specific   
sfs-1977-480:P19                       41    19.0   specific   
sfs-2022-964:K2P8                      42    19.0   specific   
sfs-2025-400:K22P4                     43    19.0   specific   
sfs-2022-482:K5P36                     44    19.0   specific   
sfs-2025-400:K12P5a                    45    19.0   specific   
sfs-2016-977:K3P3                      46    19.0   specific   
sfs-1982-80:P18                        47    19.0   specific   
sfs-2019-742:K1P11                     48    19.0   specific   
sfs-2025-400:K12P5a:occurrence:2       49    19.0   specific   
sfs-2015-96:K3P15                      50    19.0   specific   
sfs-2025-400:K21P1                     51    19.0   specific   
sfs-2021-516:K3P3                      52    19.0   specific   
sfs-2016-1013:P21                      53    19.0   specific   
sfs-2017-630:K4P12                     54    19.0   specific   
sfs-2026-786:K5P2                      55    19.0   specific   
sfs-2026-408:K9P10                     56    19.0   specific   
sfs-2024-782:K3P5                      57    19.0   specific   
sfs-2026-1011:K6P8                     58    19.0   specific   
sfs-2015-315:K4P15                     59    19.0   specific   
sfs-2026-1283:overgang:2026-1283       60    19.0   specific   
sfs-2019-1197:overgang:2021-573        61    19.0   specific   
sfs-2014-340:overgang:2014-340         62    19.0   specific   
sfs-2016-928:overgang:2016-928         63    19.0   specific   
sfs-2021-1106:overgang:2021-1106       64    19.0   specific   
sfs-1977-480:P12                       65    18.0   specific   
sfs-2022-482:K5P37                     66    18.0   specific   
sfs-2026-485:P13                       67    18.0   specific   
sfs-1982-673:P12                       68    18.0   specific   
sfs-2026-999:K5P1                      69    18.0   specific   
sfs-2017-630:K5P4                      70    18.0   specific   
sfs-2025-400:K12P3a                    71    18.0   specific   
sfs-2018-1251:P10                      72    18.0   specific   
sfs-2017-1000:K3P23                    73    18.0   specific   
sfs-1995-584:P15b                      74    18.0   specific   
sfs-2018-1138:K18P13                   75    18.0   specific   
sfs-2016-27:P24                        76    18.0   specific   
sfs-2025-400:K12P7b                    77    18.0   specific   
sfs-2016-1146:K3P16                    78    18.0   specific   
sfs-2014-968:K1aP14                    79    18.0   specific   
sfs-2022-260:K3P6                      80    18.0   vague      
sfs-2016-1145:K21P11                   81    18.0   specific   
sfs-2016-1146:K21P11                   82    18.0   specific   
sfs-2016-1147:K17P11                   83    18.0   specific   
sfs-2016-1146:K3P18                    84    18.0   specific   
sfs-2016-1145:K3P16                    85    18.0   specific   
sfs-2016-1147:K3P18                    86    18.0   specific   
sfs-2024-710:K8P32                     87    18.0   unmarked   
sfs-2021-401:K2P7                      88    18.0   specific   
sfs-2014-968:K1aP52                    89    18.0   specific   
sfs-2017-725:K12P16                    90    18.0   vague      
sfs-2026-226:P13                       91    18.0   specific   
sfs-2019-1182:K4P7                     92    18.0   specific   
sfs-2025-400:K24P4                     93    18.0   specific   
sfs-2024-945:K7P1                      94    18.0   specific   
sfs-2014-322:P15                       95    18.0   specific   
sfs-2019-32:K5P7                       96    18.0   unmarked   
sfs-2017-725:K6P30                     97    18.0   vague      
sfs-2024-926:P14                       98    18.0   unmarked   
